Fecha,Casos,Casos_Acum,Muertes,Muertes_Acum,Recuperados,Recuperados_Acum
2020-03-10,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0
2020-03-13,1,1,0,0,0,0
2020-03-14,0,1,0,0,0,0
2020-03-15,0,1,0,0,0,0
2020-03-16,0,1,0,0,0,0
2020-03-17,0,1,0,0,0,0
2020-03-18,0,1,0,0,0,0
2020-03-19,1,2,0,0,0,0
2020-03-20,0,2,0,0,0,0
2020-03-21,0,2,0,0,0,0
2020-03-22,1,3,0,0,0,0
2020-03-23,0,3,0,0,0,0
2020-03-24,0,3,0,0,0,0
2020-03-25,0,3,0,0,0,0
2020-03-26,7,10,0,0,0,0
2020-03-27,4,14,0,0,0,0
2020-03-28,0,14,0,0,0,0
2020-03-29,4,18,0,0,0,0
2020-03-30,2,20,0,0,0,0
2020-03-31,0,20,0,0,0,0
2020-04-01,1,21,0,0,0,0
2020-04-02,1,22,0,0,0,0
2020-04-03,2,24,0,0,0,0
2020-04-04,0,24,0,0,0,0
2020-04-05,9,33,1,1,0,0
2020-04-06,0,33,1,2,0,0
2020-04-07,5,38,0,2,0,0
2020-04-08,9,47,0,2,0,0
2020-04-09,1,48,0,2,0,0
2020-04-10,0,48,0,2,0,0
2020-04-11,1,49,2,4,0,0
2020-04-12,3,52,0,4,0,0
2020-04-13,2,54,0,4,0,0
2020-04-14,3,57,0,4,0,0
2020-04-15,2,59,0,4,0,0
2020-04-16,0,59,0,4,7,7
2020-04-17,1,60,0,4,0,7
2020-04-18,0,60,0,4,0,7
2020-04-19,1,61,1,5,0,7
2020-04-20,0,61,1,6,6,13
2020-04-21,1,62,0,6,0,0
2020-04-22,1,63,0,6,0,13
2020-04-23,3,66,0,6,0,13
2020-04-24,4,70,0,6,0,0
2020-04-25,1,71,0,6,0,13
2020-04-26,7,78,0,6,0,13
2020-04-27,0,78,0,6,9,22
2020-04-28,1,79,0,6,0,22
2020-04-29,1,80,0,6,0,22
2020-04-30,0,80,0,6,0,0
2020-05-01,0,80,0,6,0,25
2020-05-02,1,81,0,6,0,25
2020-05-03,0,81,0,6,0,25
2020-05-04,1,82,0,6,0,25
2020-05-05,0,82,0,6,8,33
2020-05-06,0,82,0,6,0,33
2020-05-07,0,82,0,6,0,33
2020-05-08,8,90,0,6,7,40
2020-05-09,5,95,0,6,0,40
2020-05-10,9,104,0,6,0,40
2020-05-11,5,109,0,6,5,45
2020-05-12,21,130,1,7,0,45
2020-05-13,18,148,1,8,0,45
2020-05-14,22,170,0,8,0,45
2020-05-15,26,196,1,9,5,50
2020-05-16,18,214,0,9,0,50
2020-05-17,10,224,0,9,0,50
2020-05-18,4,228,1,10,0,50
2020-05-19,18,246,1,11,5,55
2020-05-20,13,259,0,11,0,55
2020-05-21,7,266,0,11,0,55
2020-05-22,19,285,0,11,0,55
2020-05-23,10,295,2,13,0,55
2020-05-24,34,329,0,13,0,55
2020-05-25,10,339,5,18,0,55
2020-05-26,6,345,0,18,5,60
2020-05-27,31,376,0,18,0,60
2020-05-28,43,419,1,19,0,60
2020-05-29,69,488,2,21,0,60
2020-05-30,68,556,2,23,0,60
2020-05-31,55,611,0,23,0,60
2020-06-01,103,714,11,34,0,60
2020-06-02,72,786,5,39,4,64
2020-06-03,65,851,6,45,0,64
2020-06-04,47,898,4,49,7,71
2020-06-05,62,960,2,51,0,71
2020-06-06,62,1022,1,52,0,71
2020-06-07,75,1097,0,52,0,71
2020-06-08,65,1162,3,55,0,71
2020-06-09,69,1231,2,57,0,71
2020-06-10,66,1297,0,57,0,71
2020-06-11,72,1369,3,60,5,76
2020-06-12,72,1441,6,66,0,76
2020-06-13,96,1537,9,75,0,76
2020-06-14,186,1723,3,78,0,76
2020-06-15,155,1878,5,83,2,78
2020-06-16,37,1915,5,88,0,78
2020-06-17,126,2041,6,94,3,81
2020-06-18,138,2179,3,97,5,86
2020-06-19,123,2302,1,98,8,94
2020-06-20,58,2360,3,101,0,94
2020-06-21,191,2551,6,107,0,94
2020-06-22,61,2612,7,114,0,94
2020-06-23,163,2775,11,125,1,95
2020-06-24,145,2920,5,130,5,100
2020-06-25,50,2970,6,136,17,117
2020-06-26,263,3233,4,140,6,123
2020-06-27,183,3416,10,150,15,138
2020-06-28,52,3468,15,165,0,138
2020-06-29,33,3501,19,184,15,153
2020-06-30,139,3640,18,202,0,153
2020-07-01,104,3744,19,221,15,168
2020-07-02,92,3836,12,233,17,185
2020-07-03,253,4089,14,247,26,211
2020-07-04,57,4146,15,262,30,241
2020-07-05,53,4199,20,282,36,277
2020-07-06,230,4429,10,292,24,301
2020-07-07,63,4492,12,304,28,329
2020-07-08,143,4635,8,312,21,350
2020-07-09,134,4769,15,327,29,379
2020-07-10,146,4915,19,346,31,410
2020-07-11,99,5014,19,365,36,446
2020-07-12,174,5188,20,385,58,504
2020-07-13,127,5315,13,398,67,571
2020-07-14,153,5468,14,412,44,615
2020-07-15,276,5744,10,422,84,699
2020-07-16,182,5926,15,437,75,774
2020-07-17,119,6045,16,453,212,986
2020-07-18,232,6277,15,468,74,1060
2020-07-19,129,6406,15,483,166,1226
2020-07-20,120,6526,15,498,94,1320
2020-07-21,168,6694,14,512,92,1412
2020-07-22,193,6887,14,526,119,1531
2020-07-23,160,7047,15,541,106,1637
2020-07-24,258,7305,14,555,147,1784
2020-07-25,115,7420,16,571,158,1942
2020-07-26,124,7544,12,583,125,2067
2020-07-27,560,8104,20,603,97,2164
2020-07-28,206,8310,19,622,101,2265
2020-07-29,100,8410,12,634,60,2325
2020-07-30,172,8582,12,646,121,2446
2020-07-31,448,9030,17,663,95,2541
2020-08-01,388,9418,20,683,118,2659
2020-08-02,208,9626,15,698,86,2745
2020-08-03,189,9815,15,713,54,2799
2020-08-04,216,10031,17,730,108,2907
2020-08-05,182,10213,15,745,74,2981
2020-08-06,96,10309,14,759,78,3059
2020-08-07,83,10392,12,771,82,3141
2020-08-08,43,10435,10,781,83,3224
2020-08-09,151,10586,5,786,147,3371
2020-08-10,136,10722,5,791,150,3521
2020-08-11,123,10845,5,796,249,3770
2020-08-12,145,10990,5,801,266,4036
2020-08-13,84,11074,8,809,178,4214
2020-08-14,185,11259,7,816,317,4531
2020-08-15,87,11346,6,822,203,4734
2020-08-16,13,11359,10,832,259,4993
2020-08-17,52,11411,7,839,323,5316
2020-08-18,80,11491,8,847,320,5636
2020-08-19,72,11563,5,852,180,5816
2020-08-20,58,11621,7,859,270,6086
2020-08-21,68,11689,6,865,251,6337
2020-08-22,102,11791,5,870,208,6545
2020-08-23,53,11844,9,879,212,6757
2020-08-24,112,11956,8,887,195,6952
2020-08-25,61,12017,9,896,307,7259
2020-08-26,51,12068,7,903,236,7495
2020-08-27,93,12161,10,913,180,7675
2020-08-28,43,12204,8,921,130,7805
2020-08-29,86,12290,7,928,150,7955
2020-08-30,7,12297,6,934,120,8075
2020-08-31,73,12370,7,941,157,8232
2020-09-01,62,12432,8,949,136,8368
2020-09-02,84,12516,6,955,152,8520
2020-09-03,43,12559,8,963,130,8650
2020-09-04,30,12589,5,968,90,8740
2020-09-05,26,12615,7,975,80,8820
2020-09-06,9,12624,5,980,100,8920
2020-09-07,5,12629,7,987,95,9015
2020-09-08,42,12671,5,992,110,9125
2020-09-09,50,12721,8,1000,120,9245
2020-09-10,45,12766,7,1007,105,9350
2020-09-11,123,12889,7,1014,100,9450
2020-09-12,176,13065,10,1024,120,9570
2020-09-13,77,13142,6,1030,90,9660
2020-09-14,50,13192,5,1035,105,9765
2020-09-15,69,13261,8,1043,80,9845
2020-09-16,33,13294,5,1048,109,9954
2020-09-17,34,13328,7,1055,85,10039
2020-09-18,50,13378,6,1061,90,10129
2020-09-19,14,13392,5,1066,95,10224
2020-09-20,2,13394,4,1070,80,10304
2020-09-21,28,13422,6,1076,95,10399
2020-09-22,7,13429,5,1081,60,10459
2020-09-23,22,13451,6,1087,70,10529
2020-09-24,37,13488,5,1092,60,10589
2020-09-25,19,13507,7,1099,75,10664
2020-09-26,22,13529,6,1105,60,10724
2020-09-27,4,13533,4,1109,50,10774
2020-09-28,30,13563,7,1116,55,10829
2020-09-29,31,13594,5,1121,40,10869
2020-09-30,17,13611,6,1127,50,10919
2020-10-01,15,13626,6,1133,45,10964
2020-10-02,18,13644,7,1140,40,11004
2020-10-03,3,13647,5,1145,78,11082
2020-10-04,12,13659,7,1152,85,11167
2020-10-05,14,13673,5,1157,56,11223
2020-10-06,33,13706,5,1162,45,11268
2020-10-07,22,13728,6,1168,48,11316
2020-10-08,7,13735,6,1174,50,11366
2020-10-09,15,13750,5,1179,47,11413
2020-10-10,4,13754,5,1184,35,11448
2020-10-11,0,13754,3,1187,45,11493
2020-10-12,11,13765,4,1191,40,11533
2020-10-13,19,13784,5,1196,40,11573
2020-10-14,3,13787,3,1199,35,11608
2020-10-15,23,13810,5,1204,35,11643
2020-10-16,17,13827,5,1209,20,11663
2020-10-17,6,13833,4,1213,25,11688
2020-10-18,0,13833,3,1216,20,11708
2020-10-19,24,13857,5,1221,20,11728
2020-10-20,15,13872,4,1225,30,11758
2020-10-21,23,13895,5,1230,35,11793
2020-10-22,13,13908,6,1236,30,11823
2020-10-23,2,13910,5,1241,40,11863
2020-10-24,4,13914,4,1245,30,11893
2020-10-25,0,13914,2,1247,20,11913
2020-10-26,12,13926,3,1250,40,11953
2020-10-27,6,13932,5,1255,30,11983
2020-10-28,13,13945,5,1260,25,12008
2020-10-29,21,13966,4,1264,30,12038
2020-10-30,11,13977,4,1268,20,12058
2020-10-31,0,13977,2,1270,25,12083
2020-11-01,0,13977,0,1270,25,12108
2020-11-02,10,13987,3,1273,10,12118
2020-11-03,1,13988,3,1276,15,12133
2020-11-04,11,13999,5,1281,12,12145
2020-11-05,12,14011,3,1284,15,12160
2020-11-06,3,14014,5,1289,15,12175
2020-11-07,7,14021,3,1292,10,12185
2020-11-08,2,14023,4,1296,12,12197
2020-11-09,4,14027,2,1298,15,12212
2020-11-10,6,14033,3,1301,10,12222
2020-11-11,9,14042,4,1305,15,12237
2020-11-12,20,14062,4,1309,20,12257
2020-11-13,18,14080,3,1312,15,12272
2020-11-14,3,14083,0,1312,10,12282
2020-11-15,4,14087,0,1312,22,12294
2020-11-16,22,14109,2,1314,10,12304
2020-11-17,6,14115,1,1315,10,12314
2020-11-18,2,14117,0,1315,15,12329
2020-11-19,10,14127,3,1318,12,12341
2020-11-20,9,14136,3,1321,10,12351
2020-11-21,8,14144,0,1321,8,12359
2020-11-22,1,14145,0,1321,0,12359
2020-11-23,10,14155,2,1323,22,12381
2020-11-24,14,14169,0,1323,15,12396
2020-11-25,16,14185,0,1323,20,12416
2020-11-26,32,14217,0,1323,17,12433
2020-11-27,16,14233,0,1323,25,12458
2020-11-28,5,14238,2,1325,20,12478
2020-11-29,0,14238,0,1325,33,12511
2020-11-30,15,14253,0,1325,5,12516
2020-12-01,13,14266,0,1325,15,12531
2020-12-02,14,14280,0,1325,20,12551
2020-12-03,13,14293,1,1326,46,12566
2020-12-04,14,14307,0,1326,20,12586
2020-12-05,4,14311,0,1326,15,12601
2020-12-06,4,14315,0,1326,15,12616
2020-12-07,16,14331,0,1326,10,12626
2020-12-08,14,14345,0,1326,15,12641
2020-12-09,15,14360,0,1326,20,12661
2020-12-10,21,14381,0,1326,15,12676
