Fecha,Casos,Casos_Acum,Muertes,Muertes_Acum,Recuperados,Recuperados_Acum
2020-03-10,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0
2020-03-27,1,1,0,0,0,0
2020-03-28,0,1,0,0,0,0
2020-03-29,0,1,0,0,0,0
2020-03-30,0,1,0,0,0,0
2020-03-31,0,1,0,0,0,0
2020-04-01,0,1,0,0,0,0
2020-04-02,0,1,0,0,0,0
2020-04-03,0,1,0,0,0,0
2020-04-04,0,1,0,0,0,0
2020-04-05,0,1,0,0,0,0
2020-04-06,0,1,0,0,0,0
2020-04-07,0,1,0,0,0,0
2020-04-08,0,1,0,0,0,0
2020-04-09,0,1,0,0,0,0
2020-04-10,0,1,0,0,0,0
2020-04-11,0,1,0,0,0,0
2020-04-12,0,1,0,0,0,0
2020-04-13,0,1,0,0,0,0
2020-04-14,0,1,0,0,0,0
2020-04-15,0,1,0,0,0,0
2020-04-16,0,1,0,0,0,0
2020-04-17,0,1,0,0,0,0
2020-04-18,0,1,0,0,0,0
2020-04-19,0,1,0,0,0,0
2020-04-20,0,1,0,0,0,0
2020-04-21,0,1,0,0,0,0
2020-04-22,0,1,0,0,0,0
2020-04-23,1,2,0,0,0,0
2020-04-24,0,2,0,0,0,0
2020-04-25,0,2,0,0,0,0
2020-04-26,0,2,0,0,0,0
2020-04-27,1,3,0,0,0,0
2020-04-28,0,3,0,0,0,0
2020-04-29,0,3,0,0,0,0
2020-04-30,0,3,0,0,0,0
2020-05-01,1,4,0,0,0,0
2020-05-02,0,4,0,0,0,0
2020-05-03,0,4,0,0,0,0
2020-05-04,1,5,1,1,0,0
2020-05-05,1,6,0,1,0,0
2020-05-06,0,6,0,1,0,0
2020-05-07,5,11,0,1,0,0
2020-05-08,0,11,0,1,0,0
2020-05-09,3,14,0,1,0,0
2020-05-10,1,15,0,1,0,0
2020-05-11,0,15,1,2,1,1
2020-05-12,0,15,0,2,0,1
2020-05-13,0,15,0,2,0,1
2020-05-14,0,15,0,2,0,1
2020-05-15,0,15,0,2,0,1
2020-05-16,1,16,0,2,0,1
2020-05-17,1,17,0,2,0,1
2020-05-18,0,17,0,2,0,1
2020-05-19,0,17,0,2,0,1
2020-05-20,2,19,0,2,3,4
2020-05-21,0,19,0,2,0,4
2020-05-22,0,19,0,2,7,11
2020-05-23,2,21,0,2,0,11
2020-05-24,0,21,0,2,0,11
2020-05-25,1,22,0,2,0,11
2020-05-26,0,22,0,2,0,11
2020-05-27,3,25,0,2,0,11
2020-05-28,0,25,0,2,0,11
2020-05-29,0,25,0,2,0,11
2020-05-30,0,25,0,2,1,12
2020-05-31,1,26,0,2,2,14
2020-06-01,2,28,0,2,0,14
2020-06-02,1,29,0,2,0,14
2020-06-03,2,31,0,2,0,14
2020-06-04,1,32,0,2,0,14
2020-06-05,6,38,0,2,0,14
2020-06-06,1,39,0,2,0,14
2020-06-07,0,39,0,2,0,14
2020-06-08,4,43,0,2,0,14
2020-06-09,0,43,0,2,0,14
2020-06-10,18,61,1,3,0,14
2020-06-11,13,74,0,3,1,15
2020-06-12,11,85,0,3,0,15
2020-06-13,15,100,0,3,0,15
2020-06-14,2,102,1,4,0,15
2020-06-15,15,117,2,6,0,15
2020-06-16,12,129,2,8,0,15
2020-06-17,5,134,1,9,0,15
2020-06-18,51,185,2,11,1,16
2020-06-19,11,196,3,14,0,16
2020-06-20,57,253,1,15,0,16
2020-06-21,48,301,6,21,3,19
2020-06-22,0,301,0,21,2,21
2020-06-23,81,382,1,22,0,21
2020-06-24,40,422,4,26,1,22
2020-06-25,48,470,3,29,0,22
2020-06-26,54,524,0,29,1,23
2020-06-27,54,578,1,30,0,23
2020-06-28,59,637,1,31,0,23
2020-06-29,7,644,1,32,0,23
2020-06-30,63,707,3,35,0,23
2020-07-01,59,766,2,37,0,23
2020-07-02,45,811,1,38,5,28
2020-07-03,41,852,5,43,0,28
2020-07-04,65,917,1,44,0,28
2020-07-05,50,967,1,45,4,32
2020-07-06,33,1000,1,46,0,32
2020-07-07,68,1068,4,50,0,32
2020-07-08,31,1099,0,50,12,44
2020-07-09,63,1162,2,52,0,44
2020-07-10,3,1165,4,56,0,44
2020-07-11,133,1298,2,58,7,51
2020-07-12,34,1332,2,60,2,53
2020-07-13,0,1332,0,60,0,53
2020-07-14,42,1374,0,60,6,59
2020-07-15,48,1422,0,60,0,59
2020-07-16,68,1490,1,61,9,68
2020-07-17,46,1536,2,63,26,94
2020-07-18,52,1588,5,68,3,97
2020-07-19,17,1605,5,73,17,114
2020-07-20,32,1637,4,77,2,116
2020-07-21,25,1662,1,78,19,135
2020-07-22,36,1698,10,88,50,185
2020-07-23,38,1736,9,97,46,231
2020-07-24,71,1807,8,105,49,280
2020-07-25,19,1826,3,108,2,282
2020-07-26,8,1834,7,115,17,299
2020-07-27,60,1894,5,120,41,340
2020-07-28,27,1921,11,131,25,365
2020-07-29,23,1944,4,135,32,397
2020-07-30,18,1962,10,145,49,446
2020-07-31,89,2051,6,151,15,461
2020-08-01,43,2094,9,160,0,461
2020-08-02,47,2141,11,171,7,468
2020-08-03,58,2199,9,180,8,476
2020-08-04,62,2261,4,184,5,481
2020-08-05,76,2337,6,190,59,540
2020-08-06,99,2436,9,199,58,598
2020-08-07,126,2562,13,212,47,645
2020-08-08,99,2661,13,225,61,706
2020-08-09,51,2712,8,233,63,769
2020-08-10,125,2837,10,243,47,816
2020-08-11,141,2978,11,254,41,857
2020-08-12,149,3127,10,264,44,901
2020-08-13,169,3296,11,275,20,921
2020-08-14,181,3477,13,288,21,942
2020-08-15,146,3623,6,294,24,966
2020-08-16,185,3808,7,301,23,989
2020-08-17,177,3985,8,309,25,1014
2020-08-18,162,4147,9,318,72,1086
2020-08-19,107,4254,5,323,76,1162
2020-08-20,89,4343,5,328,56,1218
2020-08-21,78,4421,10,338,51,1269
2020-08-22,115,4536,6,344,79,1348
2020-08-23,102,4638,4,348,69,1417
2020-08-24,67,4705,5,353,53,1470
2020-08-25,81,4786,6,359,67,1537
2020-08-26,65,4851,8,367,67,1604
2020-08-27,72,4923,3,370,75,1679
2020-08-28,101,5024,10,380,93,1772
2020-08-29,73,5097,5,385,68,1840
2020-08-30,36,5133,3,388,81,1921
2020-08-31,87,5220,7,395,47,1968
2020-09-01,75,5295,5,400,48,2016
2020-09-02,65,5360,5,405,56,2072
2020-09-03,73,5433,4,409,51,2123
2020-09-04,63,5496,7,416,64,2187
2020-09-05,50,5546,6,422,55,2242
2020-09-06,60,5606,2,424,46,2288
2020-09-07,21,5627,3,427,71,2359
2020-09-08,78,5705,8,435,134,2493
2020-09-09,135,5840,3,438,151,2644
2020-09-10,71,5911,0,438,148,2792
2020-09-11,108,6019,6,444,149,2941
2020-09-12,108,6127,5,449,138,3079
2020-09-13,77,6204,3,452,114,3193
2020-09-14,64,6268,4,456,103,3296
2020-09-15,71,6339,3,459,113,3409
2020-09-16,79,6418,2,461,79,3488
2020-09-17,100,6518,3,464,46,3534
2020-09-18,87,6605,3,467,53,3587
2020-09-19,34,6639,0,467,45,3632
2020-09-20,41,6680,3,470,67,3699
2020-09-21,16,6696,0,470,74,3773
2020-09-22,73,6769,2,472,84,3857
2020-09-23,48,6817,2,474,131,3988
2020-09-24,62,6879,2,476,144,4132
2020-09-25,61,6940,2,478,137,4269
2020-09-26,46,6986,0,478,144,4413
2020-09-27,46,7032,0,478,78,4491
2020-09-28,23,7055,1,479,57,4548
2020-09-29,14,7069,1,480,92,4640
2020-09-30,31,7100,0,480,102,4742
2020-10-01,28,7128,1,481,65,4807
2020-10-02,25,7153,3,484,67,4874
2020-10-03,34,7187,3,487,62,4936
2020-10-04,24,7211,0,487,45,4981
2020-10-05,18,7229,1,488,58,5039
2020-10-06,14,7243,1,489,61,5100
2020-10-07,14,7257,0,489,63,5163
2020-10-08,59,7316,0,489,63,5226
2020-10-09,23,7339,0,489,41,5267
2020-10-10,15,7354,1,490,46,5313
2020-10-11,8,7362,2,492,41,5354
2020-10-12,20,7382,1,493,36,5390
2020-10-13,32,7414,0,493,84,5474
2020-10-14,19,7433,0,493,47,5521
2020-10-15,11,7444,1,494,41,5562
2020-10-16,32,7476,3,497,38,5600
2020-10-17,43,7519,0,497,38,5638
2020-10-18,20,7539,1,498,36,5674
2020-10-19,6,7545,0,498,26,5700
2020-10-20,19,7564,1,499,32,5732
2020-10-21,17,7581,2,501,19,5751
2020-10-22,20,7601,0,501,23,5774
2020-10-23,30,7631,0,501,31,5805
2020-10-24,31,7662,1,502,37,5842
2020-10-25,31,7693,0,502,33,5875
2020-10-26,15,7708,1,503,61,5936
2020-10-27,15,7723,0,503,77,6013
2020-10-28,34,7757,2,505,88,6101
2020-10-29,21,7778,0,505,83,6184
2020-10-30,16,7794,1,506,69,6253
2020-10-31,15,7809,2,508,51,6304
2020-11-01,14,7823,0,508,71,6375
2020-11-02,9,7832,0,508,52,6427
2020-11-03,5,7837,0,508,69,6496
2020-11-04,12,7849,0,508,34,6530
2020-11-05,6,7855,1,509,57,6587
2020-11-06,14,7869,1,510,27,6614
2020-11-07,4,7873,0,510,36,6650
2020-11-08,9,7882,0,510,26,6676
2020-11-09,2,7884,1,511,31,6707
2020-11-10,8,7892,0,511,27,6734
2020-11-11,4,7896,0,511,43,6777
2020-11-12,2,7898,0,511,33,6810
2020-11-13,9,7907,0,511,39,6849
2020-11-14,15,7922,0,511,19,6868
2020-11-15,8,7930,2,513,41,6890
2020-11-16,3,7933,0,513,14,6904
2020-11-17,6,7939,0,513,22,6926
2020-11-18,3,7942,0,513,41,6967
2020-11-19,10,7952,2,515,23,6990
2020-11-20,8,7960,0,515,28,7018
2020-11-21,10,7970,0,515,13,7031
2020-11-22,3,7973,0,515,10,7041
2020-11-23,4,7977,0,515,9,7050
2020-11-24,5,7982,0,515,7,7057
2020-11-25,6,7988,0,515,23,7080
2020-11-26,3,7991,0,515,0,7080
2020-11-27,13,8004,0,515,15,7095
2020-11-28,17,8021,0,515,13,7108
2020-11-29,3,8024,0,515,8,7116
2020-11-30,6,8030,1,516,7,7123
2020-12-01,2,8032,0,516,23,7146
2020-12-02,8,8040,0,516,8,7154
2020-12-03,7,8047,0,516,12,7166
2020-12-04,7,8054,1,517,18,7184
2020-12-05,5,8059,0,517,17,7201
2020-12-06,8,8067,0,517,8,7209
2020-12-07,3,8070,0,517,7,7216
2020-12-08,14,8084,0,517,13,7229
2020-12-09,7,8091,1,518,12,7241
2020-12-10,12,8103,1,519,15,7256
2020-12-11,16,8119,0,519,16,7272
2020-12-12,6,8125,0,519,10,7282
2020-12-13,8,8133,0,519,12,7294
2020-12-14,5,8138,0,519,10,7304
2020-12-15,10,8148,0,519,12,7316
2020-12-16,10,8158,0,519,30,7346
2020-12-17,13,8171,1,520,8,7354
