Fecha,Casos,Casos_Acum,Muertes,Muertes_Acum,Recuperados,Recuperados_Acum,Vacunados_Prim,Vacunados_Seg
2020-03-10,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0,0
2020-03-26,1,1,0,0,0,0,0,0
2020-03-27,0,1,0,0,0,0,0,0
2020-03-28,2,3,0,0,0,0,0,0
2020-03-29,0,3,0,0,0,0,0,0
2020-03-30,0,3,0,0,0,0,0,0
2020-03-31,1,4,0,0,0,0,0,0
2020-04-01,0,4,0,0,0,0,0,0
2020-04-02,1,5,0,0,0,0,0,0
2020-04-03,0,5,0,0,0,0,0,0
2020-04-04,0,5,0,0,0,0,0,0
2020-04-05,0,5,0,0,0,0,0,0
2020-04-06,3,8,0,0,0,0,0,0
2020-04-07,2,10,1,1,0,0,0,0
2020-04-08,3,13,0,1,0,0,0,0
2020-04-09,0,13,0,1,0,0,0,0
2020-04-10,0,13,0,1,0,0,0,0
2020-04-11,2,15,0,1,0,0,0,0
2020-04-12,0,15,0,1,0,0,0,0
2020-04-13,0,15,0,1,0,0,0,0
2020-04-14,0,15,0,1,0,0,0,0
2020-04-15,0,15,0,1,0,0,0,0
2020-04-16,1,16,0,1,0,0,0,0
2020-04-17,2,18,0,1,0,0,0,0
2020-04-18,0,18,0,1,0,0,0,0
2020-04-19,1,19,0,1,0,0,0,0
2020-04-20,0,19,0,1,0,0,0,0
2020-04-21,0,19,0,1,0,0,0,0
2020-04-22,2,21,0,1,0,0,0,0
2020-04-23,0,21,0,1,0,0,0,0
2020-04-24,0,21,0,1,0,0,0,0
2020-04-25,5,26,0,1,0,0,0,0
2020-04-26,0,26,0,1,0,0,0,0
2020-04-27,0,26,0,1,2,2,0,0
2020-04-28,0,26,0,1,0,2,0,0
2020-04-29,0,26,0,1,0,2,0,0
2020-04-30,0,26,0,1,0,0,0,0
2020-05-01,0,26,0,1,0,2,0,0
2020-05-02,0,26,0,1,0,2,0,0
2020-05-03,0,26,0,1,0,2,0,0
2020-05-04,7,33,0,1,0,2,0,0
2020-05-05,2,35,0,1,4,6,0,0
2020-05-06,0,35,0,1,0,6,0,0
2020-05-07,0,35,0,1,0,6,0,0
2020-05-08,0,35,0,1,0,6,0,0
2020-05-09,0,35,0,1,0,6,0,0
2020-05-10,0,35,1,2,1,7,0,0
2020-05-11,1,36,0,2,0,7,0,0
2020-05-12,0,36,0,1,0,7,0,0
2020-05-13,0,36,0,1,0,7,0,0
2020-05-14,0,36,0,1,0,7,0,0
2020-05-15,0,36,0,1,0,7,0,0
2020-05-16,0,36,0,1,4,11,0,0
2020-05-17,2,38,0,1,0,11,0,0
2020-05-18,1,39,0,1,0,11,0,0
2020-05-19,0,39,0,1,0,11,0,0
2020-05-20,1,40,0,1,0,11,0,0
2020-05-21,1,41,0,1,0,11,0,0
2020-05-22,0,41,0,1,0,11,0,0
2020-05-23,0,41,0,1,0,11,0,0
2020-05-24,1,42,0,1,6,17,0,0
2020-05-25,2,44,0,1,3,20,0,0
2020-05-26,0,44,0,1,0,20,0,0
2020-05-27,0,44,0,1,0,20,0,0
2020-05-28,2,46,0,1,0,20,0,0
2020-05-29,2,48,0,1,0,20,0,0
2020-05-30,0,48,0,1,8,28,0,0
2020-05-31,20,68,0,1,0,28,0,0
2020-06-01,2,70,0,1,0,28,0,0
2020-06-02,23,93,0,1,0,28,0,0
2020-06-03,5,98,2,3,0,28,0,0
2020-06-04,21,119,0,3,0,28,0,0
2020-06-05,28,147,0,3,3,31,0,0
2020-06-06,24,171,0,3,0,31,0,0
2020-06-07,12,183,0,3,0,31,0,0
2020-06-08,5,188,0,3,0,31,0,0
2020-06-09,12,200,1,4,0,31,0,0
2020-06-10,5,205,2,6,0,31,0,0
2020-06-11,63,268,1,7,0,31,0,0
2020-06-12,6,274,1,8,0,31,0,0
2020-06-13,21,295,0,8,3,34,0,0
2020-06-14,36,331,0,8,0,34,0,0
2020-06-15,12,343,0,8,1,35,0,0
2020-06-16,18,361,1,9,0,35,0,0
2020-06-17,17,378,0,9,0,35,0,0
2020-06-18,14,392,0,9,0,35,0,0
2020-06-19,15,407,1,10,0,35,0,0
2020-06-20,17,424,3,13,0,35,0,0
2020-06-21,4,428,0,13,0,35,0,0
2020-06-22,118,546,0,13,0,35,0,0
2020-06-23,14,560,2,15,0,35,0,0
2020-06-24,16,576,0,15,5,40,0,0
2020-06-25,12,588,2,17,0,40,0,0
2020-06-26,1,589,0,17,0,40,0,0
2020-06-27,14,603,0,17,0,40,0,0
2020-06-28,38,641,2,19,10,50,0,0
2020-06-29,23,664,0,19,0,50,0,0
2020-06-30,10,674,0,19,1,51,0,0
2020-07-01,15,689,1,20,0,51,0,0
2020-07-02,31,720,2,22,0,51,0,0
2020-07-03,8,728,1,23,1,52,0,0
2020-07-04,30,758,1,24,0,52,0,0
2020-07-05,3,761,1,25,0,52,0,0
2020-07-06,21,782,0,25,1,53,0,0
2020-07-07,19,801,0,25,17,70,0,0
2020-07-08,30,831,0,25,4,74,0,0
2020-07-09,13,844,4,29,1,75,0,0
2020-07-10,3,847,2,31,5,80,0,0
2020-07-11,11,858,0,31,2,82,0,0
2020-07-12,37,895,2,33,0,82,0,0
2020-07-13,24,919,0,33,0,82,0,0
2020-07-14,50,969,0,33,0,82,0,0
2020-07-15,31,1000,0,33,0,82,0,0
2020-07-16,60,1060,1,34,0,82,0,0
2020-07-17,26,1086,1,35,17,99,0,0
2020-07-18,11,1097,0,35,2,101,0,0
2020-07-19,75,1172,2,37,2,103,0,0
2020-07-20,16,1188,2,39,0,103,0,0
2020-07-21,0,1188,0,39,84,187,0,0
2020-07-22,61,1249,0,39,0,187,0,0
2020-07-23,17,1266,10,49,5,192,0,0
2020-07-24,119,1385,0,49,0,192,0,0
2020-07-25,5,1390,0,49,0,192,0,0
2020-07-26,46,1436,2,51,4,196,0,0
2020-07-27,7,1443,1,52,26,222,0,0
2020-07-28,15,1458,1,53,0,222,0,0
2020-07-29,6,1464,5,58,13,235,0,0
2020-07-30,6,1470,1,59,5,240,0,0
2020-07-31,16,1486,13,72,37,277,0,0
2020-08-01,34,1520,3,75,0,277,0,0
2020-08-02,56,1576,9,84,1,278,0,0
2020-08-03,51,1627,8,92,3,281,0,0
2020-08-04,43,1670,3,95,15,296,0,0
2020-08-05,77,1747,1,96,68,364,0,0
2020-08-06,13,1760,2,98,0,364,0,0
2020-08-07,32,1792,0,98,6,370,0,0
2020-08-08,28,1820,5,103,17,387,0,0
2020-08-09,40,1860,4,107,6,393,0,0
2020-08-10,81,1941,13,120,34,427,0,0
2020-08-11,291,2232,4,124,5,432,0,0
2020-08-12,120,2352,1,125,3,435,0,0
2020-08-13,256,2608,6,131,12,447,0,0
2020-08-14,235,2843,6,137,25,472,0,0
2020-08-15,194,3037,5,142,0,472,0,0
2020-08-16,116,3153,3,145,2,474,0,0
2020-08-17,138,3291,14,159,1,475,0,0
2020-08-18,861,4152,4,163,91,566,0,0
2020-08-19,268,4420,5,168,10,576,0,0
2020-08-20,118,4538,7,175,33,609,0,0
2020-08-21,98,4636,0,175,10,619,0,0
2020-08-22,100,4736,3,178,4,623,0,0
2020-08-23,35,4771,1,179,4,627,0,0
2020-08-24,61,4832,4,183,16,643,0,0
2020-08-25,112,4944,6,189,6,649,0,0
2020-08-26,194,5138,1,190,7,656,0,0
2020-08-27,114,5252,1,191,36,692,0,0
