Fecha,Casos,Casos_Acum,Muertes,Muertes_Acum,Recuperados,Recuperados_Acum,Vacunados_Prim,Vacunados_Seg
2020-03-10,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0,0,0
2020-03-29,0,0,0,0,0,0,0,0
2020-03-30,1,1,0,0,0,0,0,0
2020-03-31,0,1,0,0,0,0,0,0
2020-04-01,0,1,0,0,0,0,0,0
2020-04-02,0,1,0,0,0,0,0,0
2020-04-03,0,1,0,0,0,0,0,0
2020-04-04,0,1,0,0,0,0,0,0
2020-04-05,0,1,0,0,0,0,0,0
2020-04-06,0,1,0,0,0,0,0,0
2020-04-07,0,1,0,0,0,0,0,0
2020-04-08,0,1,0,0,0,0,0,0
2020-04-09,0,1,0,0,0,0,0,0
2020-04-10,0,1,0,0,0,0,0,0
2020-04-11,0,1,0,0,0,0,0,0
2020-04-12,1,2,0,0,0,0,0,0
2020-04-13,0,2,0,0,0,0,0,0
2020-04-14,0,2,0,0,0,0,0,0
2020-04-15,0,2,0,0,0,0,0,0
2020-04-16,0,2,0,0,0,0,0,0
2020-04-17,1,3,0,0,0,0,0,0
2020-04-18,0,3,0,0,0,0,0,0
2020-04-19,0,3,0,0,0,0,0,0
2020-04-20,0,3,0,0,0,0,0,0
2020-04-21,0,3,0,0,0,0,0,0
2020-04-22,0,3,0,0,0,0,0,0
2020-04-23,0,3,0,0,0,0,0,0
2020-04-24,0,3,0,0,0,0,0,0
2020-04-25,0,3,0,0,0,0,0,0
2020-04-26,0,3,0,0,0,0,0,0
2020-04-27,0,3,0,0,0,0,0,0
2020-04-28,0,3,0,0,0,0,0,0
2020-04-29,0,3,0,0,0,0,0,0
2020-04-30,0,3,0,0,0,0,0,0
2020-05-01,0,3,0,0,0,0,0,0
2020-05-02,0,3,0,0,0,0,0,0
2020-05-03,0,3,0,0,0,0,0,0
2020-05-04,1,4,1,1,0,0,0,0
2020-05-05,2,6,0,1,0,0,0,0
2020-05-06,0,6,0,1,0,0,0,0
2020-05-07,0,6,0,1,0,0,0,0
2020-05-08,3,9,0,1,0,0,0,0
2020-05-09,1,10,0,1,2,2,0,0
2020-05-10,0,10,0,1,0,2,0,0
2020-05-11,0,10,0,1,0,2,0,0
2020-05-12,3,13,0,1,0,2,0,0
2020-05-13,0,13,0,1,0,2,0,0
2020-05-14,0,13,0,1,0,2,0,0
2020-05-15,0,13,0,1,0,2,0,0
2020-05-16,0,13,0,1,0,2,0,0
2020-05-17,0,13,0,1,0,2,0,0
2020-05-18,0,13,1,2,0,2,0,0
2020-05-19,0,13,0,2,1,3,0,0
2020-05-20,1,14,0,2,0,3,0,0
2020-05-21,3,17,0,2,1,4,0,0
2020-05-22,1,18,0,2,2,6,0,0
2020-05-23,0,18,0,2,0,6,0,0
2020-05-24,0,18,0,2,0,6,0,0
2020-05-25,1,19,0,2,1,7,0,0
2020-05-26,0,19,1,3,0,7,0,0
2020-05-27,0,19,0,3,0,7,0,0
2020-05-28,3,22,0,3,0,7,0,0
2020-05-29,2,24,0,3,0,7,0,0
2020-05-30,8,32,0,3,0,7,0,0
2020-05-31,0,32,0,3,0,7,0,0
2020-06-01,5,37,1,4,0,7,0,0
2020-06-02,0,37,0,4,0,7,0,0
2020-06-03,3,40,0,4,0,7,0,0
2020-06-04,4,44,0,4,0,7,0,0
2020-06-05,5,49,0,4,0,7,0,0
2020-06-06,9,58,0,4,3,10,0,0
2020-06-07,0,58,0,4,0,10,0,0
2020-06-08,7,65,0,4,0,10,0,0
2020-06-09,3,68,0,4,0,10,0,0
2020-06-10,1,69,0,4,0,10,0,0
2020-06-11,8,77,0,4,0,10,0,0
2020-06-12,10,87,1,5,0,10,0,0
2020-06-13,25,112,0,5,1,11,0,0
2020-06-14,0,112,0,5,0,11,0,0
2020-06-15,11,123,0,5,0,11,0,0
2020-06-16,26,149,0,5,0,11,0,0
2020-06-17,26,175,2,7,1,12,0,0
2020-06-18,16,191,0,7,2,14,0,0
2020-06-19,15,206,0,7,0,14,0,0
2020-06-20,33,239,1,8,2,16,0,0
2020-06-21,7,246,0,8,0,16,0,0
2020-06-22,29,275,0,8,4,20,0,0
2020-06-23,24,299,0,8,2,22,0,0
2020-06-24,32,331,0,8,5,27,0,0
2020-06-25,62,393,2,10,1,28,0,0
2020-06-26,39,432,0,10,0,28,0,0
2020-06-27,82,514,1,11,2,30,0,0
2020-06-28,23,537,2,13,0,30,0,0
2020-06-29,59,596,2,15,0,30,0,0
2020-06-30,56,652,0,15,1,31,0,0
2020-07-01,57,709,2,17,0,31,0,0
2020-07-02,55,764,5,22,0,31,0,0
2020-07-03,66,830,1,23,0,31,0,0
2020-07-04,86,916,2,25,2,33,0,0
2020-07-05,55,971,3,28,0,33,0,0
2020-07-06,68,1039,2,30,1,34,0,0
2020-07-07,30,1069,1,31,1,35,0,0
2020-07-08,145,1214,3,34,1,36,0,0
2020-07-09,70,1284,5,39,0,36,0,0
2020-07-10,170,1454,2,41,0,36,0,0
2020-07-11,48,1501,3,44,3,39,0,0
2020-07-12,0,1501,2,46,10,49,0,0
2020-07-13,32,1533,1,47,0,49,0,0
2020-07-14,127,1660,2,49,0,49,0,0
2020-07-15,83,1743,3,52,0,49,0,0
2020-07-16,130,1873,2,54,0,49,0,0
2020-07-17,155,2028,2,56,29,78,0,0
2020-07-18,319,2347,6,62,29,107,0,0
2020-07-19,136,2483,1,63,30,137,0,0
2020-07-20,78,2561,6,69,22,159,0,0
2020-07-21,22,2583,4,73,46,205,0,0
2020-07-22,5,2588,0,73,2,207,0,0
2020-07-23,6,2594,1,74,2,209,0,0
2020-07-24,51,2645,1,75,42,251,0,0
2020-07-25,180,2825,1,76,27,278,0,0
2020-07-26,225,3050,3,79,5,283,0,0
2020-07-27,144,3194,1,80,40,323,0,0
2020-07-28,193,3387,3,83,49,372,0,0
2020-07-29,161,3548,2,85,59,431,0,0
2020-07-30,231,3779,2,87,43,474,0,0
2020-07-31,150,3929,2,89,20,494,0,0
2020-08-01,116,4045,3,92,62,556,0,0
2020-08-02,230,4275,1,93,23,579,0,0
2020-08-03,125,4400,3,96,35,614,0,0
2020-08-04,107,4507,5,101,61,675,0,0
2020-08-05,80,4587,1,102,62,737,0,0
2020-08-06,24,4611,4,106,13,750,0,0
2020-08-07,17,4628,5,111,19,769,0,0
2020-08-08,1,4629,5,116,11,780,0,0
2020-08-09,0,4629,2,118,38,818,0,0
2020-08-10,150,4779,3,121,56,874,0,0
2020-08-11,163,4942,1,122,35,909,0,0
2020-08-12,198,5140,5,127,64,973,0,0
2020-08-13,195,5335,3,130,70,1043,0,0
2020-08-14,204,5539,2,132,44,1087,0,0
2020-08-15,56,5595,2,134,32,1119,0,0
2020-08-16,52,5647,3,137,5,1124,0,0
2020-08-17,104,5751,4,141,69,1193,0,0
2020-08-18,261,6012,3,144,28,1221,0,0
2020-08-19,305,6317,3,147,32,1253,0,0
2020-08-20,190,6507,5,152,32,1285,0,0
2020-08-21,277,6784,5,157,32,1317,0,0
2020-08-22,121,6905,7,164,11,1328,0,0
2020-08-23,34,6939,2,166,12,1340,0,0
2020-08-24,43,6982,6,172,22,1362,0,0
2020-08-25,84,7066,4,176,57,1419,0,0
2020-08-26,97,7163,8,184,382,1801,0,0
