Municipio,Fecha,Total_confirmados,Total_activos,Total_recuperado,Total_fallecido
BAURES,2021-03-27,112,52,57,3
EXALTACION,2021-03-27,88,14,74,0
GUAYARAMERÍN,2021-03-27,1098,364,683,51
HUACARAJE,2021-03-27,48,11,35,2
LORETO,2021-03-27,58,2,54,2
MAGDALENA,2021-03-27,136,6,120,10
PUERTO SILES,2021-03-27,2,0,2,0
REYES,2021-03-27,204,102,94,8
RIBERALTA,2021-03-27,1624,822,713,89
RURRENABAQUE,2021-03-27,520,85,424,11
SAN ANDRÉS,2021-03-27,136,13,123,0
SAN BORJA,2021-03-27,473,39,421,13
SAN IGNACIO,2021-03-27,130,3,119,8
SAN JAVIER,2021-03-27,13,0,13,0
SAN JOAQUÍN,2021-03-27,209,19,180,10
SAN RAMÓN,2021-03-27,103,7,93,3
SANTA ANA DE YACUMA,2021-03-27,563,108,440,15
SANTA ROSA,2021-03-27,287,86,195,6
TRINIDAD,2021-03-27,6849,1876,4677,296
