Municipio,Fecha,Total_confirmados,Total_activos,Total_recuperado,Total_fallecido
CAMARGO,2021-03-27,627,61,552,14
CULPINA,2021-03-27,180,43,130,7
EL VILLAR,2021-03-27,120,7,113,0
HUACAYA,2021-03-27,67,11,56,0
ICLA (R.MUJIA),2021-03-27,78,49,29,0
INCAHUASI,2021-03-27,110,19,90,1
LAS CARRERAS,2021-03-27,49,1,48,0
MACHARETI,2021-03-27,142,96,46,0
MONTEAGUDO,2021-03-27,977,250,714,13
PADILLA,2021-03-27,275,28,243,4
POROMA,2021-03-27,15,0,15,0
PRESTO,2021-03-27,93,12,80,1
SAN LUCAS,2021-03-27,124,14,101,9
SAN PABLO DE HUACARETA,2021-03-27,152,100,51,1
SOPACHUY,2021-03-27,57,9,48,0
SUCRE,2021-03-27,12137,4133,7327,677
TARABUCO,2021-03-27,64,2,57,5
TARVITA (VILLA ARIAS),2021-03-27,51,14,37,0
TOMINA,2021-03-27,49,13,35,1
VILLA ABECIA,2021-03-27,80,12,68,0
VILLA ALCALA,2021-03-27,115,0,114,1
VILLA AZURDUY,2021-03-27,95,55,40,0
VILLA CHARCAS,2021-03-27,81,9,68,4
VILLA MOJOCOYA,2021-03-27,53,8,43,2
VILLA SERRANO,2021-03-27,179,10,167,2
VILLA VACA GUZMÁN (MUYUPAMPA,2021-03-27,321,74,245,2
YAMPARÁEZ,2021-03-27,104,13,89,2
YOTALA,2021-03-27,135,28,104,3
ZUDAÑEZ,2021-03-27,64,7,57,0
