Municipio,Fecha,Total_confirmados,Total_activos,Total_recuperado,Total_fallecido
AIQUILE,2021-03-27,181,19,151,11
ANZALDO,2021-03-27,28,0,28,0
ARANI,2021-03-27,80,5,66,9
ARBIETO,2021-03-27,61,9,46,6
ARQUE,2021-03-27,4,0,1,3
BOLIVAR,2021-03-27,6,0,6,0
CAPINOTA,2021-03-27,128,6,114,8
CHIMORE,2021-03-27,200,11,176,13
CLIZA,2021-03-27,161,22,130,9
COCAPATA,2021-03-27,2,0,1,1
COCHABAMBA,2021-03-27,17030,772,15289,969
COLCAPIRHUA,2021-03-27,500,23,433,44
COLOMI,2021-03-27,62,5,52,5
CUCHUMUELA (V. G.VILLARROEL),2021-03-27,5,0,5,0
ENTRE RIOS (BULO BULO),2021-03-27,454,3,403,48
INDEPENDENCIA,2021-03-27,47,1,43,3
MIZQUE,2021-03-27,162,12,143,7
MOROCHATA,2021-03-27,1,0,0,1
OMEREQUE,2021-03-27,20,0,18,2
PASORAPA,2021-03-27,21,2,18,1
POCONA,2021-03-27,34,5,28,1
POJO,2021-03-27,17,0,17,0
PUERTO VILLARROEL,2021-03-27,516,11,466,39
PUNATA,2021-03-27,396,39,320,37
QUILLACOLLO,2021-03-27,2229,96,1982,151
SACABA,2021-03-27,1557,108,1349,100
SACABAMBA,2021-03-27,1,0,1,0
SAN BENITO,2021-03-27,190,18,161,11
SANTIVAÑEZ,2021-03-27,68,14,52,2
SHINAHOTA,2021-03-27,276,4,257,15
SICAYA,2021-03-27,8,0,8,0
SIPE SIPE,2021-03-27,361,14,324,23
TACACHI,2021-03-27,1,0,0,1
TACOPAYA,2021-03-27,7,2,5,0
TAPACARÍ,2021-03-27,22,0,17,5
TARATA,2021-03-27,87,18,59,10
TIQUIPAYA,2021-03-27,667,56,581,30
TIRAQUE,2021-03-27,20,1,14,5
TOKO,2021-03-27,38,1,34,3
TOLATA,2021-03-27,92,8,79,5
TOTORA,2021-03-27,67,2,64,1
VACAS,2021-03-27,19,0,17,2
VILA VILA,2021-03-27,5,2,3,0
VILLA RIVERO,2021-03-27,23,3,18,2
VILLA TUNARI,2021-03-27,248,8,220,20
VINTO,2021-03-27,427,21,359,47
