Municipio,Fecha,Total_confirmados,Total_activos,Total_recuperado,Total_fallecido
ACHACACHI,2021-03-27,57,11,40,6
ACHOCALLA,2021-03-27,109,35,68,6
ALTO BENI,2021-03-27,8,2,4,2
ANCORAIMES,2021-03-27,5,2,3,0
APOLO,2021-03-27,25,20,3,2
AYATA,2021-03-27,2,0,2,0
BATALLAS,2021-03-27,86,23,59,4
CAIROMA,2021-03-27,17,1,16,0
CAJUATA,2021-03-27,5,3,1,1
CALACOTO,2021-03-27,10,5,5,0
CALAMARCA,2021-03-27,9,0,9,0
CAQUIAVIRI,2021-03-27,1,0,1,0
CARANAVI,2021-03-27,164,80,75,9
CATACORA,2021-03-27,2,0,2,0
CHACARILLA,2021-03-27,8,3,5,0
CHARAÑA,2021-03-27,32,9,23,0
CHARAZANI (GRAL.PEREZ),2021-03-27,10,3,6,1
CHUA COCANI,2021-03-27,2,0,2,0
CHULUMANI,2021-03-27,104,40,59,5
CHUMA,2021-03-27,3,0,3,0
COLLANA,2021-03-27,3,2,1,0
COLQUENCHA,2021-03-27,13,3,10,0
COLQUIRI,2021-03-27,88,15,66,7
COMANCHE,2021-03-27,12,3,8,1
COPACABANA,2021-03-27,59,16,42,1
CORIPATA,2021-03-27,48,8,35,5
CORO CORO,2021-03-27,28,5,22,1
COROICO,2021-03-27,54,19,32,3
DESAGUADERO,2021-03-27,22,11,10,1
EL ALTO,2021-03-27,17012,4316,12110,586
ESCOMA,2021-03-27,8,2,5,1
GUANAY,2021-03-27,65,15,48,2
GUAQUI,2021-03-27,13,8,4,1
HUARINA,2021-03-27,2,1,0,1
HUATAJATA,2021-03-27,3,0,3,0
ICHOCA,2021-03-27,2,1,1,0
INQUISIVI,2021-03-27,25,12,13,0
IRUPANA,2021-03-27,71,13,56,2
IXIAMAS,2021-03-27,1,0,1,0
JESÚS DE MACHACA,2021-03-27,16,1,15,0
LA ASUNTA,2021-03-27,19,3,13,3
LAJA,2021-03-27,76,14,56,6
LICOMA (VILLA LIBERTAD),2021-03-27,1,0,1,0
LURIBAY,2021-03-27,4,2,2,0
MALLA,2021-03-27,7,0,7,0
MAPIRI,2021-03-27,2,0,1,1
MECAPACA,2021-03-27,74,25,44,5
MOCOMOCO,2021-03-27,2,0,2,0
NAZACARA DE PACAJES,2021-03-27,2,0,2,0
NUESTRA SEÑORA DE LA PAZ,2021-03-27,43129,11394,30466,1269
PALCA,2021-03-27,9,1,8,0
PALOS BLANCOS,2021-03-27,33,0,30,3
PAPEL PAMPA,2021-03-27,1,0,1,0
PATACAMAYA,2021-03-27,78,7,63,8
PELECHUCO,2021-03-27,3,1,2,0
PUCARANI,2021-03-27,30,7,22,1
PUERTO ACOSTA,2021-03-27,5,2,3,0
PUERTO CARABUCO,2021-03-27,2,0,2,0
PUERTO PEREZ,2021-03-27,5,2,2,1
QUIME,2021-03-27,22,4,17,1
SAN ANDRES DE MACHACA         ,2021-03-27,2,2,0,0
SAN BUENAVENTURA,2021-03-27,30,0,29,1
SAN PEDRO DE TIQUINA,2021-03-27,25,11,14,0
SANTIAGO DE HUATA,2021-03-27,6,3,3,0
SANTIAGO DE MACHACA,2021-03-27,6,2,4,0
SAPAHAQUI,2021-03-27,8,0,8,0
SICA SICA,2021-03-27,12,0,9,3
SORATA,2021-03-27,18,1,17,0
TACACOMA,2021-03-27,1,0,1,0
TEOPONTE,2021-03-27,10,2,7,1
TIAHUANACU,2021-03-27,41,19,22,0
TIPUANI,2021-03-27,7,5,1,1
TITO YUPANKI,2021-03-27,4,3,1,0
UMALA,2021-03-27,14,0,11,3
VIACHA,2021-03-27,1387,373,988,26
WALDO BALLIVIAN,2021-03-27,5,2,3,0
YACO,2021-03-27,6,1,5,0
YANACACHI,2021-03-27,83,55,27,1
