Municipio,Fecha,Total_confirmados,Total_activos,Total_recuperado,Total_fallecido
ANTEQUERA (BOLIVAR),2021-03-27,39,3,36,0
BELÉN DE ANDAMARCA,2021-03-27,7,5,2,0
CARACOLLO,2021-03-27,58,7,40,11
CARANGAS,2021-03-27,21,4,15,2
CHALLAPATA,2021-03-27,450,47,388,15
CHOQUECOTA,2021-03-27,7,0,7,0
COIPASA,2021-03-27,6,1,5,0
CORQUE,2021-03-27,24,4,20,0
CRUZ DE MACHACAMARCA,2021-03-27,7,0,7,0
EL CHORO,2021-03-27,5,3,2,0
ESCARA,2021-03-27,11,0,11,0
ESMERALDA,2021-03-27,10,0,9,1
EUCALIPTUS,2021-03-27,84,0,78,6
HUACHACALLA,2021-03-27,56,0,51,5
LA RIVERA,2021-03-27,3,0,3,0
MACHACAMARCA                  ,2021-03-27,121,2,112,7
ORURO,2021-03-27,10547,748,9236,563
PAMPA AULLAGAS,2021-03-27,19,1,18,0
PARIA,2021-03-27,1,0,1,0
PAZÑA,2021-03-27,21,3,17,1
POOPÓ,2021-03-27,60,4,51,5
SABAYA,2021-03-27,105,1,102,2
SALINAS DE GARCI MENDOZA,2021-03-27,51,1,47,3
SAN PEDRO DE TOTORA,2021-03-27,14,1,12,1
SANTIAGO DE ANDAMARCA,2021-03-27,37,7,27,3
SANTIAGO DE HUARI,2021-03-27,64,14,47,3
SANTIAGO DE HUAYLLAMARCA,2021-03-27,17,6,10,1
SANTUARIO DE QUILLACAS,2021-03-27,40,0,39,1
TOLEDO,2021-03-27,57,2,51,4
TURCO,2021-03-27,36,1,34,1
VILLA HUANUNI,2021-03-27,686,44,614,28
YUNGUYO DEL LITORAL *,2021-03-27,11,1,10,0
