Municipio,Fecha,Total_confirmados,Total_activos,Total_recuperado,Total_fallecido
BELLA FLOR,2021-03-27,95,21,73,1
BOLPEBRA (MUKDEN),2021-03-27,46,0,46,0
COBIJA,2021-03-27,3414,1339,1853,222
EL SENA,2021-03-27,67,17,49,1
FILADELFIA,2021-03-27,18,2,15,1
INGAVI,2021-03-27,8,8,0,0
NUEVO MANOA (NUEVA ESPERANZA),2021-03-27,19,12,7,0
PORVENIR,2021-03-27,109,55,52,2
PUERTO GONZALES MORENO,2021-03-27,174,31,143,0
PUERTO RICO,2021-03-27,231,6,221,4
SAN LORENZO,2021-03-27,156,27,129,0
SAN PEDRO (CONQUISTA),2021-03-27,26,8,18,0
SANTA ROSA DEL ABUNÁ,2021-03-27,21,0,20,1
SANTOS MERCADO,2021-03-27,7,7,0,0
VILLA NUEVA (LOMA ALTA),2021-03-27,11,1,10,0
