Municipio,Fecha,Total_confirmados,Total_activos,Total_recuperado,Total_fallecido
ACASIO,2021-03-27,15,6,9,0
ARAMPAMPA,2021-03-27,8,7,0,1
ATOCHA,2021-03-27,222,16,198,8
BELÉN DE URMIRI,2021-03-27,8,0,8,0
BETANZOS,2021-03-27,340,13,321,6
CAIZA D,2021-03-27,85,23,61,1
CARIPUYO,2021-03-27,16,9,6,1
CHAQUI,2021-03-27,22,2,20,0
CHAYANTA,2021-03-27,67,12,53,2
CHUQUIHUTA,2021-03-27,25,6,15,4
CKOCHAS,2021-03-27,24,4,19,1
COLCHA K (V.MARTIN),2021-03-27,613,30,577,6
COLQUECHACA,2021-03-27,58,6,51,1
COTAGAITA,2021-03-27,283,240,42,1
LLALLAGUA,2021-03-27,1338,37,1262,39
LLICA,2021-03-27,43,13,29,1
MOJINETE,2021-03-27,5,1,4,0
OCURI,2021-03-27,83,4,77,2
POCOATA,2021-03-27,82,39,37,6
PORCO,2021-03-27,54,35,17,2
POTOSÍ,2021-03-27,7056,182,6663,211
PUNA,2021-03-27,116,40,74,2
RAVELO,2021-03-27,45,5,39,1
SACACA,2021-03-27,21,10,8,3
SAN AGUSTÍN,2021-03-27,55,1,54,0
SAN ANTONIO DE ESMORACA,2021-03-27,7,0,7,0
SAN PABLO DE LIPEZ,2021-03-27,16,7,9,0
SAN PEDRO DE BUENA VISTA,2021-03-27,47,29,17,1
SAN PEDRO DE QUEMES,2021-03-27,22,6,16,0
TACOBAMBA,2021-03-27,39,29,10,0
TAHUA,2021-03-27,65,0,64,1
TINGUIPAYA,2021-03-27,27,1,26,0
TOMAVE,2021-03-27,103,29,74,0
TORO TORO,2021-03-27,62,14,46,2
TUPIZA,2021-03-27,1030,190,785,55
UNCÍA,2021-03-27,572,279,281,12
UYUNI (THOLA PAMPA),2021-03-27,365,120,217,28
VILLAZÓN,2021-03-27,1241,435,774,32
VITICHI,2021-03-27,105,83,22,0
YOCALLA,2021-03-27,29,10,16,3
