Municipio,Fecha,Total_confirmados,Total_activos,Total_recuperado,Total_fallecido
ASCENCIÓN DE GUARAYOS,2021-03-27,135,2,123,10
BOYUIBE,2021-03-27,130,71,59,0
BUENA VISTA,2021-03-27,143,27,114,2
CABEZAS,2021-03-27,74,14,51,9
CAMIRI,2021-03-27,1071,551,498,22
CARMEN RIVERO TORREZ,2021-03-27,70,30,34,6
CHARAGUA,2021-03-27,212,165,38,9
COLPA BELGICA,2021-03-27,226,16,202,8
COMARAPA,2021-03-27,276,153,122,1
CONCEPCIÓN,2021-03-27,359,72,271,16
COTOCA,2021-03-27,1502,15,1422,65
CUATRO CANADAS,2021-03-27,242,88,135,19
CUEVO,2021-03-27,60,58,2,0
EL PUENTE,2021-03-27,132,10,119,3
EL TORNO,2021-03-27,2668,527,2087,54
FERNANDEZ ALONSO,2021-03-27,295,85,201,9
GENERAL SAAVEDRA,2021-03-27,118,44,70,4
GUTIÉRREZ,2021-03-27,81,49,29,3
LA GUARDIA,2021-03-27,3059,1394,1578,87
LAGUNILLAS,2021-03-27,97,87,7,3
MAIRANA,2021-03-27,226,121,102,3
MINEROS,2021-03-27,170,32,124,14
MONTERO,2021-03-27,4385,1343,2777,265
MORO MORO,2021-03-27,54,15,38,1
OKINAWA UNO,2021-03-27,242,47,166,29
PAILÓN,2021-03-27,553,156,383,14
PAMPA GRANDE,2021-03-27,131,49,79,3
PORONGO (AYACUCHO),2021-03-27,617,320,291,6
PORTACHUELO,2021-03-27,337,75,247,15
POSTRER VALLE,2021-03-27,27,4,23,0
PUCARA,2021-03-27,30,10,19,1
PUERTO QUIJARRO,2021-03-27,312,77,213,22
PUERTO SUAREZ,2021-03-27,114,30,36,48
QUIRUSILLAS,2021-03-27,114,101,12,1
ROBORE,2021-03-27,466,193,256,17
SAIPINA,2021-03-27,71,38,33,0
SAMAIPATA,2021-03-27,104,71,32,1
SAN ANTONIO DE LOMERIO,2021-03-27,45,11,32,2
SAN CARLOS,2021-03-27,397,92,292,13
SAN IGNACIO DE VELASCO,2021-03-27,432,70,277,85
SAN JAVIER,2021-03-27,136,49,78,9
SAN JOSE DE CHIQUITOS,2021-03-27,396,157,222,17
SAN JUAN,2021-03-27,155,28,119,8
SAN JULIÁN,2021-03-27,343,107,211,25
SAN MATÍAS,2021-03-27,38,0,33,5
SAN MIGUEL DE VELASCO,2021-03-27,50,12,25,13
SAN PEDRO,2021-03-27,607,240,361,6
SAN RAFAEL,2021-03-27,67,34,32,1
SAN RAMÓN,2021-03-27,209,61,135,13
SANTA CRUZ DE LA SIERRA,2021-03-27,71355,5836,61427,4092
SANTA ROSA DEL SARA,2021-03-27,249,33,210,6
TRIGAL,2021-03-27,59,17,42,0
URUBICHA,2021-03-27,53,0,53,0
VALLEGRANDE,2021-03-27,438,104,329,5
WARNES,2021-03-27,1131,204,849,78
YAPACANÍ,2021-03-27,834,84,712,38
