Departamentos,Municipio,confirmados,activos,fallecidos,recuperados,Latitud,Longitud
BENI,BAURES,112,52,3,57,-13.65159197,-63.68973264
BENI,EXALTACION,88,14,0,74,-13.27878443,-65.23671486
BENI,GUAYARAMERÍN,1098,364,51,683,-10.82467262,-65.36840324
BENI,HUACARAJE,48,11,2,35,-13.59527805,-63.87881811
BENI,LORETO,58,2,2,54,-15.19449314,-64.76606278
BENI,MAGDALENA,136,6,10,120,-13.26048167,-64.06594174
BENI,PUERTO SILES,2,0,0,2,-12.80357935,-65.00400287
BENI,REYES,204,102,8,94,-14.29030517,-67.3303555
BENI,RIBERALTA,1624,822,89,713,-11.00796474,-66.05989032
BENI,RURRENABAQUE,520,85,11,424,-14.43110263,-67.535012
BENI,SAN ANDRÉS,136,13,0,123,-15.02503737,-64.70071606
BENI,SAN BORJA,473,39,13,421,-14.8589609,-66.7450719
BENI,SAN IGNACIO,130,3,8,119,-14.98321364,-65.63418943
BENI,SAN JAVIER,13,0,0,13,-16.27659734,-62.50349577
BENI,SAN JOAQUÍN,209,19,10,180,-13.04791478,-64.66342468
BENI,SAN RAMÓN,103,7,3,93,-13.22918019,-64.566278
BENI,SANTA ANA DE YACUMA,563,108,15,440,-13.74038405,-65.42062295
BENI,SANTA ROSA,287,86,6,195,-14.07430871,-66.79219737
BENI,TRINIDAD,6849,1876,296,4677,-14.83147518,-64.90364975
