Departamentos,Municipio,confirmados,activos,fallecidos,recuperados,Latitud,Longitud
CHUQUISACA,CAMARGO,627,61,14,552,-20.64045123,-65.20712051
CHUQUISACA,CULPINA,180,43,7,130,-20.82333963,-64.94397763
CHUQUISACA,EL VILLAR,120,7,0,113,-19.62982366,-64.31207193
CHUQUISACA,HUACAYA,67,11,0,56,-20.67420273,-63.61558082
CHUQUISACA,ICLA (R.MUJIA),78,49,0,29,-19.36132334,-64.79088832
CHUQUISACA,INCAHUASI,110,19,1,90,-20.77809158,-64.87136707
CHUQUISACA,LAS CARRERAS,49,1,0,48,-21.20394209,-65.24665578
CHUQUISACA,MACHARETI,142,96,0,46,-20.81628558,-63.36106127
CHUQUISACA,MONTEAGUDO,977,250,13,714,-19.82042077,-63.97732121
CHUQUISACA,PADILLA,275,28,4,243,-19.30879506,-64.30275038
CHUQUISACA,POROMA,15,0,0,15,-18.4834946,-65.50000013
CHUQUISACA,PRESTO,93,12,1,80,-18.93286744,-64.93775019
CHUQUISACA,SAN LUCAS,124,14,9,101,-20.08762598,-65.12127263
CHUQUISACA,SAN PABLO DE HUACARETA,152,100,1,51,-20.35437625,-64.00066716
CHUQUISACA,SOPACHUY,57,9,0,48,-19.48667118,-64.47577393
CHUQUISACA,SUCRE,12137,4133,677,7327,-19.03650354,-65.25952786
CHUQUISACA,TARABUCO,64,2,5,57,-19.1828268,-64.91535902
CHUQUISACA,TARVITA (VILLA ARIAS),51,14,0,37,-19.78067465,-64.5746783
CHUQUISACA,TOMINA,49,13,1,35,-19.18602359,-64.46145207
CHUQUISACA,VILLA ABECIA,80,12,0,68,-20.97257978,-65.2341556
CHUQUISACA,VILLA ALCALA,115,0,1,114,-19.43714657,-64.36279234
CHUQUISACA,VILLA AZURDUY,95,55,0,40,-20.10607178,-64.41222711
CHUQUISACA,VILLA CHARCAS,81,9,4,68,-20.7227375,-64.88166878
CHUQUISACA,VILLA MOJOCOYA,53,8,2,43,-18.75984679,-64.62049007
CHUQUISACA,VILLA SERRANO,179,10,2,167,-19.12271214,-64.32190329
CHUQUISACA,VILLA VACA GUZMÁN (MUYUPAMPA,321,74,2,245,-19.89581216,-63.75318798
CHUQUISACA,YAMPARÁEZ,104,13,2,89,-19.19051118,-65.12656934
CHUQUISACA,YOTALA,135,28,3,104,-19.16164401,-65.26658046
CHUQUISACA,ZUDAÑEZ,64,7,0,57,-19.11558846,-64.69853371
