Departamentos,Municipio,confirmados,activos,fallecidos,recuperados,Latitud,Longitud
LA PAZ,ACHACACHI,57,11,6,40,-16.03178208,-68.70040989
LA PAZ,ACHOCALLA,109,35,6,68,-16.57157408,-68.16864289
LA PAZ,ALTO BENI,8,2,2,4,-15.61586059,-67.43222086
LA PAZ,ANCORAIMES,5,2,0,3,-15.91147148,-68.87728106
LA PAZ,APOLO,25,20,2,3,-14.71947639,-68.41199406
LA PAZ,AYATA,2,0,0,2,-15.34096733,-68.75295313
LA PAZ,BATALLAS,86,23,4,59,-16.29525827,-68.53040249
LA PAZ,CAIROMA,17,1,0,16,-16.86501542,-67.58923289
LA PAZ,CAJUATA,5,3,1,1,-16.6914172,-67.18988539
LA PAZ,CALACOTO,10,5,0,5,-17.28543868,-68.64216675
LA PAZ,CALAMARCA,9,0,0,9,-16.9085792,-68.11852823
LA PAZ,CAQUIAVIRI,1,0,0,1,-17.02455985,-68.6086023
LA PAZ,CARANAVI,164,80,9,75,-15.83510083,-67.55854125
LA PAZ,CATACORA,2,0,0,2,-17.16989427,-69.47414896
LA PAZ,CHACARILLA,8,3,0,5,-17.55656379,-68.16958672
LA PAZ,CHARAÑA,32,9,0,23,-17.60736359,-69.36163508
LA PAZ,CHARAZANI (GRAL.PEREZ),10,3,1,6,-15.19456947,-69.00465776
LA PAZ,CHUA COCANI,2,0,0,2,-16.18820127,-68.74459884
LA PAZ,CHULUMANI,104,40,5,59,-16.40894354,-67.52784163
LA PAZ,CHUMA,3,0,0,3,-15.48159976,-68.89774317
LA PAZ,COLLANA,3,2,0,1,-16.90415268,-68.28267985
LA PAZ,COLQUENCHA,13,3,0,10,-16.96484302,-68.2725212
LA PAZ,COLQUIRI,88,15,7,66,-17.38483759,-67.12706586
LA PAZ,COMANCHE,12,3,1,8,-16.95305494,-68.44516829
LA PAZ,COPACABANA,59,16,1,42,-16.16637461,-69.08671166
LA PAZ,CORIPATA,48,8,5,35,-16.31327136,-67.60441298
LA PAZ,CORO CORO,28,5,1,22,-17.17251295,-68.4536573
LA PAZ,COROICO,54,19,3,32,-16.19415128,-67.72882458
LA PAZ,DESAGUADERO,22,11,1,10,-16.56631223,-69.02165499
LA PAZ,EL ALTO,17012,4316,586,12110,-16.48958155,-68.20836699
LA PAZ,ESCOMA,8,2,1,5,-15.6593161,-69.13557836
LA PAZ,GUANAY,65,15,2,48,-15.49766581,-67.88198957
LA PAZ,GUAQUI,13,8,1,4,-16.59870839,-68.8336459
LA PAZ,HUARINA,2,1,1,0,-16.18881838,-68.59894625
LA PAZ,HUATAJATA,3,0,0,3,-16.2028214,-68.6936013
LA PAZ,ICHOCA,2,1,0,1,-17.14189698,-67.18341213
LA PAZ,INQUISIVI,25,12,0,13,-16.89344222,-67.12203625
LA PAZ,IRUPANA,71,13,2,56,-16.47196215,-67.46172241
LA PAZ,IXIAMAS,1,0,0,1,-13.74432438,-68.14708633
LA PAZ,JESÚS DE MACHACA,16,1,0,15,-16.74785333,-68.80854588
LA PAZ,LA ASUNTA,19,3,3,13,-16.12474302,-67.20542108
LA PAZ,LAJA,76,14,6,56,-16.53240276,-68.38473737
LA PAZ,LICOMA (VILLA LIBERTAD),1,0,0,1,-16.80384139,-67.20665237
LA PAZ,LURIBAY,4,2,0,2,-17.06361791,-67.66300088
LA PAZ,MALLA,7,0,0,7,-17.03944913,-67.45037185
LA PAZ,MAPIRI,2,0,1,1,-15.3097416,-68.22269542
LA PAZ,MECAPACA,74,25,5,44,-16.6668737,-68.0170101
LA PAZ,MOCOMOCO,2,0,0,2,-15.45601211,-68.9992662
LA PAZ,NAZACARA DE PACAJES,2,0,0,2,-16.92517284,-68.7817186
