Departamentos,Municipio,confirmados,activos,fallecidos,recuperados,Latitud,Longitud
ORURO,ANTEQUERA (BOLIVAR),39,3,0,36,-18.47748452,-66.84209478
ORURO,BELÉN DE ANDAMARCA,7,5,0,2,-18.83353507,-67.64300683
ORURO,CARACOLLO,58,7,11,40,-17.65177796,-67.21773636
ORURO,CARANGAS,21,4,2,15,-18.94094201,-68.62535519
ORURO,CHALLAPATA,450,47,15,388,-18.89201002,-66.77964281
ORURO,CHOQUECOTA,7,0,0,7,-18.09018555,-67.92176319
ORURO,COIPASA,6,1,0,5,-19.28565701,-68.28084954
ORURO,CORQUE,24,4,0,20,-18.34605121,-67.70315768
ORURO,CRUZ DE MACHACAMARCA,7,0,0,7,-18.76672668,-68.31892103
ORURO,EL CHORO,5,3,0,2,-18.35700727,-67.12910598
ORURO,ESCARA,11,0,0,11,-18.8578815,-68.16829678
ORURO,ESMERALDA,10,0,1,9,-18.97150588,-68.11340906
ORURO,EUCALIPTUS,84,0,6,78,-17.59823209,-67.50991347
ORURO,HUACHACALLA,56,0,5,51,-18.79490254,-68.25749891
ORURO,LA RIVERA,3,0,0,3,-19.02116673,-68.65253557
ORURO,MACHACAMARCA                  ,121,2,7,112,-18.1724739,-67.0211368
ORURO,ORURO,10547,748,563,9236,-17.97156366,-67.09265122
ORURO,PAMPA AULLAGAS,19,1,0,18,-19.20896623,-67.06478534
ORURO,PARIA,1,0,0,1,-17.82187426,-67.02078576
ORURO,PAZÑA,21,3,1,17,-18.59687643,-66.92341364
ORURO,POOPÓ,60,4,5,51,-18.37986781,-66.99783481
ORURO,SABAYA,105,1,2,102,-19.01058683,-68.41051289
ORURO,SALINAS DE GARCI MENDOZA,51,1,3,47,-19.62010802,-67.6843542
ORURO,SAN PEDRO DE TOTORA,14,1,1,12,-17.79403783,-68.15728626
ORURO,SANTIAGO DE ANDAMARCA,37,7,3,27,-18.77937745,-67.52082097
ORURO,SANTIAGO DE HUARI,64,14,3,47,-19.00811508,-66.78862031
ORURO,SANTIAGO DE HUAYLLAMARCA,17,6,1,10,-17.8365206,-67.94069765
ORURO,SANTUARIO DE QUILLACAS,40,0,1,39,-19.23800777,-66.94184358
ORURO,TOLEDO,57,2,4,51,-18.1862087,-67.40954535
ORURO,TURCO,36,1,1,34,-18.1910668,-68.2796956
ORURO,VILLA HUANUNI,686,44,28,614,-18.28519515,-66.84159054
ORURO,YUNGUYO DEL LITORAL *,11,1,0,10,-18.84738754,-68.35267837
