Departamentos,Municipio,confirmados,activos,fallecidos,recuperados,Latitud,Longitud
PANDO,BELLA FLOR,95,21,1,73,-11.13115929,-67.72199795
PANDO,BOLPEBRA (MUKDEN),46,0,0,46,-11.14343665,-69.1629679
PANDO,COBIJA,3414,1339,222,1853,-11.03493406,-68.78197306
PANDO,EL SENA,67,17,1,49,-11.47855178,-67.25224987
PANDO,FILADELFIA,18,2,1,15,-11.34570413,-68.76030991
PANDO,INGAVI,8,8,0,0,-10.68588827,-66.74179823
PANDO,NUEVO MANOA (NUEVA ESPERANZA),19,12,0,7,-9.761617993,-65.41233559
PANDO,PORVENIR,109,55,2,52,-11.237052,-68.70500075
PANDO,PUERTO GONZALES MORENO,174,31,0,143,-11.04601758,-66.18098554
PANDO,PUERTO RICO,231,6,4,221,-11.10096818,-67.55503029
PANDO,SAN LORENZO,156,27,0,129,-11.57039852,-66.8876113
PANDO,SAN PEDRO (CONQUISTA),26,8,0,18,-11.79462279,-67.92675352
PANDO,SANTA ROSA DEL ABUNÁ,21,0,1,20,-10.61627816,-67.44665629
PANDO,SANTOS MERCADO,7,7,0,0,-10.14478237,-66.21322376
PANDO,VILLA NUEVA (LOMA ALTA),11,1,0,10,-10.71275692,-66.11736995
