Departamentos,Municipio,confirmados,activos,fallecidos,recuperados,Latitud,Longitud
POTOSI,ACASIO,15,6,0,9,-18.02364783,-66.05401078
POTOSI,ARAMPAMPA,8,7,1,0,-17.87896955,-66.08011498
POTOSI,ATOCHA,222,16,8,198,-20.94127572,-66.2248974
POTOSI,BELÉN DE URMIRI,8,0,0,8,-19.38500034,-66.06321804
POTOSI,BETANZOS,340,13,6,321,-19.55414299,-65.45271773
POTOSI,CAIZA D,85,23,1,61,-20.00724619,-65.65567019
POTOSI,CARIPUYO,16,9,1,6,-18.23527736,-66.47242954
POTOSI,CHAQUI,22,2,0,20,-19.58585057,-65.56257603
POTOSI,CHAYANTA,67,12,2,53,-18.46182405,-66.44444466
POTOSI,CHUQUIHUTA,25,6,4,15,-18.59674668,-66.35983828
POTOSI,CKOCHAS,24,4,1,19,-19.73775829,-64.99448853
POTOSI,COLCHA K (V.MARTIN),613,30,6,577,-20.73963899,-67.6595135
POTOSI,COLQUECHACA,58,6,1,51,-18.69924188,-66.00377881
POTOSI,COTAGAITA,283,240,1,42,-20.80793398,-65.70493219
POTOSI,LLALLAGUA,1338,37,39,1262,-18.42316312,-66.58186746
POTOSI,LLICA,43,13,1,29,-19.86438337,-68.26236584
POTOSI,MOJINETE,5,1,0,4,-21.68672324,-66.34370684
POTOSI,OCURI,83,4,2,77,-18.841491,-65.79575085
POTOSI,POCOATA,82,39,6,37,-18.70161851,-66.16438862
POTOSI,PORCO,54,35,2,17,-19.80619725,-65.97584867
POTOSI,POTOSÍ,7056,182,211,6663,-19.57466017,-65.75844723
POTOSI,PUNA,116,40,2,74,-19.7907291,-65.51905564
POTOSI,RAVELO,45,5,1,39,-18.78926684,-65.52990086
POTOSI,SACACA,21,10,3,8,-18.06742619,-66.39572865
POTOSI,SAN AGUSTÍN,55,1,0,54,-21.15737873,-67.67987974
POTOSI,SAN ANTONIO DE ESMORACA,7,0,0,7,-21.86470732,-66.81937326
POTOSI,SAN PABLO DE LIPEZ,16,7,0,9,-21.688172,-66.61943446
POTOSI,SAN PEDRO DE BUENA VISTA,47,29,1,17,-18.26650099,-65.98606469
POTOSI,SAN PEDRO DE QUEMES,22,6,0,16,-21.08822005,-68.15982354
POTOSI,TACOBAMBA,39,29,0,10,-19.16819706,-65.49575608
POTOSI,TAHUA,65,0,1,64,-19.88923704,-67.69532009
POTOSI,TINGUIPAYA,27,1,0,26,-19.11433824,-65.8857859
POTOSI,TOMAVE,103,29,0,74,-20.13709371,-66.4219591
POTOSI,TORO TORO,62,14,2,46,-18.14083875,-65.75753022
POTOSI,TUPIZA,1030,190,55,785,-21.43470553,-65.73312015
POTOSI,UNCÍA,572,279,12,281,-18.47475124,-66.56071071
POTOSI,UYUNI (THOLA PAMPA),365,120,28,217,-20.47198582,-66.82785416
POTOSI,VILLAZÓN,1241,435,32,774,-22.0211963,-65.59782948
POTOSI,VITICHI,105,83,0,22,-20.20852378,-65.49606174
POTOSI,YOCALLA,29,10,3,16,-19.48047087,-65.92570533
