Departamentos,Municipio,confirmados,activos,fallecidos,recuperados,Latitud,Longitud
SANTA CRUZ,ASCENCIÓN DE GUARAYOS,135,2,10,123,-15.8969976,-63.18540244
SANTA CRUZ,BOYUIBE,130,71,0,59,-20.44164934,-63.27987679
SANTA CRUZ,BUENA VISTA,143,27,2,114,-17.45867827,-63.66899482
SANTA CRUZ,CABEZAS,74,14,9,51,-18.78657815,-63.30942566
SANTA CRUZ,CAMIRI,1071,551,22,498,-20.02249177,-63.53039468
SANTA CRUZ,CARMEN RIVERO TORREZ,70,30,6,34,-18.82433701,-58.61812755
SANTA CRUZ,CHARAGUA,212,165,9,38,-19.78112035,-63.1969427
SANTA CRUZ,COLPA BELGICA,226,16,8,202,-17.51226615,-63.27626277
SANTA CRUZ,COMARAPA,276,153,1,122,-17.91062668,-64.52997971
SANTA CRUZ,CONCEPCIÓN,359,72,16,271,-16.13120688,-62.04018113
SANTA CRUZ,COTOCA,1502,15,65,1422,-17.77407762,-62.87578583
SANTA CRUZ,CUATRO CANADAS,242,88,19,135,-17.24998869,-62.50063172
SANTA CRUZ,CUEVO,60,58,0,2,-20.45589547,-63.51929063
SANTA CRUZ,EL PUENTE,132,10,3,119,-16.32681101,-62.91814325
SANTA CRUZ,EL TORNO,2668,527,54,2087,-17.99236624,-63.38311414
SANTA CRUZ,FERNANDEZ ALONSO,295,85,9,201,-16.89916896,-63.22899242
SANTA CRUZ,GENERAL SAAVEDRA,118,44,4,70,-17.22895325,-63.21699566
SANTA CRUZ,GUTIÉRREZ,81,49,3,29,-19.42017435,-63.5231877
SANTA CRUZ,LA GUARDIA,3059,1394,87,1578,-17.89113638,-63.32284815
SANTA CRUZ,LAGUNILLAS,97,87,3,7,-19.64771934,-63.66989141
SANTA CRUZ,MAIRANA,226,121,3,102,-18.12046346,-63.96152258
SANTA CRUZ,MINEROS,170,32,14,124,-17.12520058,-63.23277508
SANTA CRUZ,MONTERO,4385,1343,265,2777,-17.31915247,-63.26288227
SANTA CRUZ,MORO MORO,54,15,1,38,-18.36662598,-64.32359389
SANTA CRUZ,OKINAWA UNO,242,47,29,166,-17.2329363,-62.8159141
SANTA CRUZ,PAILÓN,553,156,14,383,-17.65874311,-62.72622578
SANTA CRUZ,PAMPA GRANDE,131,49,3,79,-18.093647,-64.11504522
SANTA CRUZ,PORONGO (AYACUCHO),617,320,6,291,-17.85573275,-63.30581909
SANTA CRUZ,PORTACHUELO,337,75,15,247,-17.35497166,-63.39750498
SANTA CRUZ,POSTRER VALLE,27,4,0,23,-18.49691484,-63.84024357
SANTA CRUZ,PUCARA,30,10,1,19,-18.71646159,-64.18460918
SANTA CRUZ,PUERTO QUIJARRO,312,77,22,213,-17.80330519,-57.77483062
SANTA CRUZ,PUERTO SUAREZ,114,30,48,36,-18.97269099,-57.8146934
SANTA CRUZ,QUIRUSILLAS,114,101,1,12,-18.34073641,-63.95269637
SANTA CRUZ,ROBORE,466,193,17,256,-18.35610674,-59.7437414
SANTA CRUZ,SAIPINA,71,38,0,33,-18.09374101,-64.58271363
SANTA CRUZ,SAMAIPATA,104,71,1,32,-18.17781319,-63.88338397
SANTA CRUZ,SAN ANTONIO DE LOMERIO,45,11,2,32,-16.76908417,-61.80978927
SANTA CRUZ,SAN CARLOS,397,92,13,292,-17.404972,-63.73167655
SANTA CRUZ,SAN IGNACIO DE VELASCO,432,70,85,277,-16.36184703,-60.92834999
SANTA CRUZ,SAN JAVIER,136,49,9,78,-16.27725935,-62.50349523
SANTA CRUZ,SAN JOSE DE CHIQUITOS,396,157,17,222,-17.83400691,-60.74907295
SANTA CRUZ,SAN JUAN,155,28,8,119,-17.26254816,-63.85900614
SANTA CRUZ,SAN JULIÁN,343,107,25,211,-16.90578144,-62.60859486
SANTA CRUZ,SAN MATÍAS,38,0,5,33,-16.37527568,-58.40735437
SANTA CRUZ,SAN MIGUEL DE VELASCO,50,12,13,25,-16.70157236,-60.96376697
SANTA CRUZ,SAN PEDRO,607,240,6,361,-16.82755449,-63.48221893
SANTA CRUZ,SAN RAFAEL,67,34,1,32,-16.78383022,-60.68658829
SANTA CRUZ,SAN RAMÓN,209,61,13,135,-16.60012558,-62.50263693
SANTA CRUZ,SANTA CRUZ DE LA SIERRA,71355,5836,4092,61427,-17.80864219,-63.15102348
SANTA CRUZ,SANTA ROSA DEL SARA,249,33,6,210,-17.10998845,-63.59981093
SANTA CRUZ,TRIGAL,59,17,0,42,-18.30857414,-64.14842962
SANTA CRUZ,URUBICHA,53,0,0,53,-15.62768597,-63.08276654
SANTA CRUZ,VALLEGRANDE,438,104,5,329,-18.48852682,-64.11256751
SANTA CRUZ,WARNES,1131,204,78,849,-17.52292375,-63.16746035
SANTA CRUZ,YAPACANÍ,834,84,38,712,-17.41138743,-63.88573111
