Departamentos,Municipio,confirmados,activos,fallecidos,recuperados,Latitud,Longitud
TARIJA,BERMEJO,2000,293,57,1650,-22.68308314,-64.31371412
TARIJA,CARAPARÍ,798,69,7,722,-21.82930402,-63.74096544
TARIJA,ENTRE RIOS (LA MORETA),456,75,2,379,-21.52797333,-64.17486387
TARIJA,PADCAYA,626,78,2,546,-21.88883354,-64.71145085
TARIJA,SAN LORENZO,824,93,8,723,-21.41020894,-64.75681834
TARIJA,TARIJA,12705,1976,335,10394,-21.51853458,-64.73121489
TARIJA,TOMAYAPO (EL PUENTE),214,16,2,196,-21.26868514,-65.04500492
TARIJA,URIONDO,337,75,3,259,-21.6952294,-64.65353238
TARIJA,VILLAMONTES,1826,260,50,1516,-21.26033911,-63.45458635
TARIJA,YACUIBA,2918,771,128,2019,-22.02269457,-63.67664509
TARIJA,YUNCHARA,61,4,2,55,-21.82443623,-65.25002533
