Departamentos,Municipio,confirmados,activos,fallecidos,recuperados,Latitud,Longitud
BENI,BAURES,112,52,3,57,-13.65159197,-63.68973264
BENI,EXALTACION,88,14,0,74,-13.27878443,-65.23671486
BENI,GUAYARAMERÍN,1098,364,51,683,-10.82467262,-65.36840324
BENI,HUACARAJE,48,11,2,35,-13.59527805,-63.87881811
BENI,LORETO,58,2,2,54,-15.19449314,-64.76606278
BENI,MAGDALENA,136,6,10,120,-13.26048167,-64.06594174
BENI,PUERTO SILES,2,0,0,2,-12.80357935,-65.00400287
BENI,REYES,204,102,8,94,-14.29030517,-67.3303555
BENI,RIBERALTA,1624,822,89,713,-11.00796474,-66.05989032
BENI,RURRENABAQUE,520,85,11,424,-14.43110263,-67.535012
BENI,SAN ANDRÉS,136,13,0,123,-15.02503737,-64.70071606
BENI,SAN BORJA,473,39,13,421,-14.8589609,-66.7450719
BENI,SAN IGNACIO,130,3,8,119,-14.98321364,-65.63418943
BENI,SAN JAVIER,13,0,0,13,-16.27659734,-62.50349577
BENI,SAN JOAQUÍN,209,19,10,180,-13.04791478,-64.66342468
BENI,SAN RAMÓN,103,7,3,93,-13.22918019,-64.566278
BENI,SANTA ANA DE YACUMA,563,108,15,440,-13.74038405,-65.42062295
BENI,SANTA ROSA,287,86,6,195,-14.07430871,-66.79219737
BENI,TRINIDAD,6849,1876,296,4677,-14.83147518,-64.90364975
CHUQUISACA,CAMARGO,627,61,14,552,-20.64045123,-65.20712051
CHUQUISACA,CULPINA,180,43,7,130,-20.82333963,-64.94397763
CHUQUISACA,EL VILLAR,120,7,0,113,-19.62982366,-64.31207193
CHUQUISACA,HUACAYA,67,11,0,56,-20.67420273,-63.61558082
CHUQUISACA,ICLA (R.MUJIA),78,49,0,29,-19.36132334,-64.79088832
CHUQUISACA,INCAHUASI,110,19,1,90,-20.77809158,-64.87136707
CHUQUISACA,LAS CARRERAS,49,1,0,48,-21.20394209,-65.24665578
CHUQUISACA,MACHARETI,142,96,0,46,-20.81628558,-63.36106127
CHUQUISACA,MONTEAGUDO,977,250,13,714,-19.82042077,-63.97732121
CHUQUISACA,PADILLA,275,28,4,243,-19.30879506,-64.30275038
CHUQUISACA,POROMA,15,0,0,15,-18.4834946,-65.50000013
CHUQUISACA,PRESTO,93,12,1,80,-18.93286744,-64.93775019
CHUQUISACA,SAN LUCAS,124,14,9,101,-20.08762598,-65.12127263
CHUQUISACA,SAN PABLO DE HUACARETA,152,100,1,51,-20.35437625,-64.00066716
CHUQUISACA,SOPACHUY,57,9,0,48,-19.48667118,-64.47577393
CHUQUISACA,SUCRE,12137,4133,677,7327,-19.03650354,-65.25952786
CHUQUISACA,TARABUCO,64,2,5,57,-19.1828268,-64.91535902
CHUQUISACA,TARVITA (VILLA ARIAS),51,14,0,37,-19.78067465,-64.5746783
CHUQUISACA,TOMINA,49,13,1,35,-19.18602359,-64.46145207
CHUQUISACA,VILLA ABECIA,80,12,0,68,-20.97257978,-65.2341556
CHUQUISACA,VILLA ALCALA,115,0,1,114,-19.43714657,-64.36279234
CHUQUISACA,VILLA AZURDUY,95,55,0,40,-20.10607178,-64.41222711
CHUQUISACA,VILLA CHARCAS,81,9,4,68,-20.7227375,-64.88166878
CHUQUISACA,VILLA MOJOCOYA,53,8,2,43,-18.75984679,-64.62049007
CHUQUISACA,VILLA SERRANO,179,10,2,167,-19.12271214,-64.32190329
CHUQUISACA,VILLA VACA GUZMÁN (MUYUPAMPA,321,74,2,245,-19.89581216,-63.75318798
CHUQUISACA,YAMPARÁEZ,104,13,2,89,-19.19051118,-65.12656934
CHUQUISACA,YOTALA,135,28,3,104,-19.16164401,-65.26658046
CHUQUISACA,ZUDAÑEZ,64,7,0,57,-19.11558846,-64.69853371
COCHABAMBA,AIQUILE,181,19,11,151,-18.20600257,-65.18201615
COCHABAMBA,ANZALDO,28,0,0,28,-17.7781429,-65.9321953
COCHABAMBA,ARANI,80,5,9,66,-17.57111898,-65.77141002
COCHABAMBA,ARBIETO,61,9,6,46,-17.58046115,-66.01932759
COCHABAMBA,ARQUE,4,0,3,1,-17.82788957,-66.40671942
COCHABAMBA,BOLIVAR,6,0,0,6,-17.96893957,-66.53668734
COCHABAMBA,CAPINOTA,128,6,8,114,-17.71006412,-66.26406029
COCHABAMBA,CHIMORE,200,11,13,176,-16.99651873,-65.15572909
COCHABAMBA,CLIZA,161,22,9,130,-17.59291239,-65.94016009
COCHABAMBA,COCAPATA,2,0,1,1,-16.77236072,-66.49623461
COCHABAMBA,COCHABAMBA,17030,772,969,15289,-17.40802885,-66.16328902
COCHABAMBA,COLCAPIRHUA,500,23,44,433,-17.39395319,-66.23130844
COCHABAMBA,COLOMI,62,5,5,52,-17.33990271,-65.86570321
COCHABAMBA,CUCHUMUELA (V. G.VILLARROEL),5,0,0,5,-17.65328463,-65.79423822
COCHABAMBA,ENTRE RIOS (BULO BULO),454,3,48,403,-17.25593321,-64.36323876
